gate,concourse,level,lat,lng
A1,A,Upper,39.1786907,-76.6710493
A2,A,Upper,39.178909,-76.6712987
A3,A,Upper,39.1791315,-76.6715187
A4,A,Upper,39.1793622,-76.6717064
A5,A,Upper,39.1796076,-76.6718781
A6,A,Upper,39.1800657,-76.6723575
A7,A,Upper,39.1800309,-76.6728652
A8,A,Upper,39.1803375,-76.6725874
A9,A,Upper,39.1803478,-76.6730663
A10,A,Upper,39.1807033,-76.6730449
A11,A,Upper,39.1806867,-76.6733909
A12,A,Upper,39.1810734,-76.6733077
A13,A,Upper,39.1810006,-76.6737503
A14,A,Upper,39.1813499,-76.6735759
A15,A,Upper,39.1812148,-76.6739354
A16,A,Upper,39.1813104,-76.6737583
B2,B,Upper,39.1780713,-76.6709951
B3,B,Upper,39.1776717,-76.6701854
B4,B,Upper,39.1777725,-76.6707777
B5,B,Upper,39.1773961,-76.6698552
B6,B,Upper,39.177345,-76.6703176
B7,B,Upper,39.1770599,-76.6695455
B8,B,Upper,39.1770226,-76.6700174
B9,B,Upper,39.1767215,-76.6692287
B10,B,Upper,39.176687,-76.6697609
B11,B,Upper,39.17658,-76.6691721
B12,B,Upper,39.1764247,-76.6694615
B13,B,Upper,39.1764329,-76.669033
B14,B,Upper,39.176241,-76.6692058
B15,B,Upper,39.1763225,-76.6690482
C1,C,Upper,39.1791017,-76.6679483
C2,C,Upper,39.1786389,-76.6680319
C3,C,Upper,39.1788247,-76.667693
C4,C,Upper,39.1782843,-76.6677056
C5,C,Upper,39.1784951,-76.6673888
C6,C,Upper,39.1778989,-76.6673507
C7,C,Upper,39.1780581,-76.6670687
C8,C,Upper,39.177687,-76.6672428
C9,C,Upper,39.1776402,-76.6665944
C10,C,Upper,39.1774192,-76.6669929
C11,C,Upper,39.1773069,-76.6663705
C12,C,Upper,39.1771461,-76.6666598
C13,C,Upper,39.1771954,-76.6663276
C14,C,Upper,39.1770799,-76.6665223
D1,D,Upper,39.1807096,-76.6668496
D2,D,Upper,39.1801939,-76.6668811
D3,D,Upper,39.1805183,-76.6667712
D4,D,Upper,39.1801253,-76.6663527
D5,D,Upper,39.1803395,-76.6663313
D7,D,Upper,39.1796255,-76.6650627
D8,D,Upper,39.1796796,-76.6655739
D10,D,Upper,39.1794472,-76.6653349
D11,D,Upper,39.1792422,-76.6646476
D12,D,Upper,39.1790672,-76.6649797
D13,D,Upper,39.1789176,-76.6643454
D14,D,Upper,39.178851,-76.6647199
D15,D,Upper,39.1788113,-76.6644216
D16,D,Upper,39.1787156,-76.6645825
D20,D,Upper,39.1803821,-76.6650361
D21,D,Upper,39.1807206,-76.665043
D22,D,Upper,39.1805401,-76.6646743
D23,D,Upper,39.1808606,-76.6647158
D24,D,Upper,39.1808322,-76.6642472
D25,D,Upper,39.181091,-76.6643912
D26,D,Upper,39.1810634,-76.6638433
D29,D,Upper,39.1813896,-76.6637079
D30,D,Lower,39.18177,-76.66318
D31/D31A,D,Lower,39.18188,-76.66328
D32/D33,D,Lower,39.18194,-76.66338
D34,D,Lower,39.18189,-76.66347
D36,D,Lower,39.18138,-76.66281
D37,D,Lower,39.18126,-76.6627
D38/D39,D,Lower,39.18113,-76.66282
D40,D,Lower,39.18102,-76.66272
D41,D,Lower,39.18085,-76.66233
D42,D,Lower,39.18073,-76.66221
D43,D,Lower,39.18065,-76.66217
D44/D45,D,Lower,39.18059,-76.66227
D46/D47,D,Lower,39.18065,-76.66238
E1,E,Upper,39.18265,-76.66802
E2,E,Upper,39.1811503,-76.6672754
E3,E,Upper,39.1830714,-76.6672271
E4,E,Upper,39.1825475,-76.6675222
E5/E7/E9,E,Upper,39.1835246,-76.666621
E6,E,Upper,39.1828843,-76.6668946
E8/E10/E12,E,Upper,39.1833708,-76.6664439
