Device/OS,Time,Location Description,Lat,Long,DAS Data,,,,,,,,,,,,,Wi-Fi Data,,,,,,,,,
,,Gate / Landmark,,,MCC,MNC,TAC,CID,PCI,EARFCN,BW ,RSRP,RSRQ,TA,Cellular Ookla DL,Cellular Ookla UL,Cellular Ookla RTT,SSID,BSSID,Band,Channel,TxPhy,RxPhy,RSSI,Wi-Fi Ookla DL,Wi-Fi Ookla UL,Wi-Fi Ookla RTT
Android AT&T Pixel 8 Pro,,B1,,,310,410,6404,19648,15,850,20,-85,-5,4,447,71.8,26,Helium,A8:53:7D:21:E9:D4,5,153,270,229,-55,174,181,6
Android AT&T Pixel 8 Pro,,B2,,,310,410,6404,19648,15,850,20,-82,-6,5,399,76,28,,A8:53:7D:22:04:4B,4,36,286,286,-46,142,174,7
Android AT&T Pixel 8 Pro,,B3,,,310,410,6404,19648,15,850,20,-80,-5,4,351,73.2,21,,A8:53:7D:21:E9:D4,5,153,154,103,-77,67.8,110,8
Android AT&T Pixel 8 Pro,,B4,,,310,410,6404,19648,15,850,20,-68,-5,4,443,97.4,36,,A8:53:7D:D2:6C:C7,5,165,130,103,,68.3,69.1,7
Android AT&T Pixel 8 Pro,,B5,,,310,410,6404,19648,23,66986,10,-80,-3,3,320,46,20,,A8:53:7D:22:03:B4,5,153,206,172,-65,118,124,8
Android AT&T Pixel 8 Pro,,B6,,,310,410,6404,19648,16,66986,10,-66,-4,3,286,64,19,,A8:53:7D:22:0F:BB,5,48,286,258,-53,172,217,8
Android AT&T Pixel 8 Pro,,B7,,,310,410,6404,19648,23,66986,10,-78,-3,3,253,53.2,20,,A8:53:7D:22:03:B4,5,153,162,172,-66,111,118,26
Android AT&T Pixel 8 Pro,,B8,,,310,410,6404,19648,23,66986,10,-86,-4,3,350,58,32,,A8:53:7D:22:03:B4,5,153,154,162,-67,115,124,8
Android AT&T Pixel 8 Pro,,B9,,,310,410,6404,19648,23,66986,10,-83,-6,3,338,47.1,20,,D4:20:B0:71:98:C2,5,161,162,206,-66,144,163,10
Android AT&T Pixel 8 Pro,,B10,,,310,410,6404,19648,23,66986,10,-85,-6,3,268,47.1,26,,A8:53:7D:22:04:14,5,153,286,286,-52,201,207,8
Android AT&T Pixel 8 Pro,,B11,,,310,410,6404,19648,23,66986,10,-82,-4,3,297,50.2,22,,A8:53:7D:22:12:BA,5,157,258,229,-61,153,169,9
Android AT&T Pixel 8 Pro,,B12,,,310,410,6404,19648,23,850,20,-75,-5,4,420,89.3,23,,A8:53:7D:22:0F:2A,5,48,229,154,-68,84.2,47.2,9
Android AT&T Pixel 8 Pro,,B13,,,,,,,,,,,,,,,,,,,,,,,,,
Android AT&T Pixel 8 Pro,,"B14,15",,,310,410,6404,19648,23,850,20,-76,-4,4,339,101,24,,A8:53:7D:22:0F:2A,5,48,289,229,-54,89.3,52.5,11
